"Region","Gender","Year","VerySatisfied","SlightlySatisfied","SatisfiedRate","Neutral","SlightlyDissatisfied","VeryDissatisfied","DissatisfiedRate","SatisfactionScore","SuicideRate"
"전북특별자치도","Female","2023","11.1","35.7","46.8","38.2","11.1","3.9","15","3.39","13.8"
"전북특별자치도","Female","2024","11","34.1","45.1","41.2","11","2.8","13.8","3.398","19"
"전라남도","Total","2020","14.2","26.7","40.9","49.3","8.2","1.5","9.7","3.436","28.5"
"전라남도","Total","2021","11.6","25.9","37.5","44.3","14.6","3.5","18.1","3.272","30.2"
"전라남도","Total","2022","12.2","32.5","44.7","41.6","11.4","2.3","13.7","3.409","26.6"
"전라남도","Total","2023","13.5","28.5","42","46.7","9.1","2.2","11.3","3.42","29.2"
"전라남도","Total","2024","10.3","29.9","40.2","45.4","12.6","1.8","14.4","3.343","34.5"
"전라남도","Male","2020","16.3","28.1","44.4","46.9","7","1.7","8.7","3.503","41.3"
"전라남도","Male","2021","12.6","25.2","37.8","43.4","14.5","4.4","18.9","3.274","42.7"
"전라남도","Male","2022","13.7","31.9","45.6","40.5","11.7","2.1","13.8","3.431","38.7"
"전라남도","Male","2023","15","28.1","43.1","44.1","10.9","1.9","12.8","3.434","40.9"
"전라남도","Male","2024","10.8","30.5","41.3","45.6","11.3","1.7","13","3.371","53.6"
"전라남도","Female","2020","12.2","25.3","37.5","51.7","9.4","1.4","10.8","3.375","15.6"
"전라남도","Female","2021","10.5","26.7","37.2","45.2","14.8","2.7","17.5","3.272","17.6"
"전라남도","Female","2022","10.7","33.1","43.8","42.6","11","2.6","13.6","3.383","14.5"
"전라남도","Female","2023","12","28.8","40.8","49.4","7.3","2.5","9.8","3.405","17.4"
"전라남도","Female","2024","9.9","29.2","39.1","45.2","13.8","1.9","15.7","3.314","15.1"
"경상북도","Total","2020","9.7","24.7","34.4","52.5","11.4","1.7","13.1","3.293","28.6"
"경상북도","Total","2021","7.7","19.8","27.5","46.9","20.8","4.8","25.6","3.048","29"
"경상북도","Total","2022","11.5","32.3","43.8","42.4","11.8","2","13.8","3.395","26.8"
"경상북도","Total","2023","10.2","27.9","38.1","47.1","12","2.7","14.7","3.306","30.5"
"경상북도","Total","2024","9.2","31.7","40.9","46.2","10.7","2.2","12.9","3.35","31.6"
"경상북도","Male","2020","10.9","24.4","35.3","52.5","9.9","2.2","12.1","3.316","37.8"
"경상북도","Male","2021","8.1","19","27.1","47.6","19.7","5.5","25.2","3.042","40.8"
"경상북도","Male","2022","13","31.6","44.6","41.5","12.1","1.9","14","3.42","38.8"
"경상북도","Male","2023","10.7","30.5","41.2","44.3","12.1","2.4","14.5","3.35","44.2"
"경상북도","Male","2024","10.4","31.8","42.2","44","11.3","2.6","13.9","3.364","46.6"
"경상북도","Female","2020","8.5","24.9","33.4","52.6","12.8","1.3","14.1","3.268","19.3"
"경상북도","Female","2021","7.2","20.6","27.8","46.2","21.9","4.1","26","3.049","17.1"
"경상북도","Female","2022","10.1","33","43.1","43.3","11.5","2.2","13.7","3.376","14.7"
"경상북도","Female","2023","9.8","25.3","35.1","50","12","3","15","3.272","16.6"
"경상북도","Female","2024","8","31.7","39.7","48.4","10.1","1.9","12","3.341","16.3"
"경상남도","Total","2020","14.6","31.3","45.9","43","9.3","1.8","11.1","3.476","25.3"
"경상남도","Total","2021","8.2","24.1","32.3","45.4","18","4.2","22.2","3.138","26.3"
"경상남도","Total","2022","10.1","32.8","42.9","43.1","12.1","1.9","14","3.371","26.7"
"경상남도","Total","2023","10.7","33.7","44.4","43.6","9.7","2.4","12.1","3.409","28.5"
"경상남도","Total","2024","10.4","32.5","42.9","45.2","10.3","1.5","11.8","3.397","28.5"
"경상남도","Male","2020","16","31.6","47.6","41.9","8.5","2.1","10.6","3.512","36.3"
"경상남도","Male","2021","8.4","23","31.4","45.2","17.9","5.5","23.4","3.109","37.6"
"경상남도","Male","2022","10.9","33.1","44","42.6","11.3","2.1","13.4","3.394","39.7"
"경상남도","Male","2023","11.3","34.8","46.1","42","9.5","2.5","12","3.432","39.3"
"경상남도","Male","2024","10.3","32.8","43.1","44.5","10.9","1.5","12.4","3.395","40.8"
"경상남도","Female","2020","13.2","30.9","44.1","44.2","10.2","1.5","11.7","3.441","14.3"
"경상남도","Female","2021","8","25.2","33.2","45.6","18.1","3","21.1","3.168","14.9"
"경상남도","Female","2022","9.4","32.6","42","43.5","12.8","1.6","14.4","3.351","13.6"
"경상남도","Female","2023","10.2","32.5","42.7","45.1","10","2.3","12.3","3.386","17.6"
"경상남도","Female","2024","10.5","32.2","42.7","46","9.7","1.5","11.2","3.402","16"
"제주특별자치도","Total","2020","15.3","32.6","47.9","41.5","8.8","1.8","10.6","3.508","30"
"제주특별자치도","Total","2021","13.7","24.8","38.5","41.7","15.8","4","19.8","3.284","26.1"
"제주특별자치도","Total","2022","14.5","33.7","48.2","40.7","9.4","1.8","11.2","3.5","26"
"제주특별자치도","Total","2023","13.1","31.6","44.7","42.9","9","3.3","12.3","3.419","30.5"
"제주특별자치도","Total","2024","12.8","30.6","43.4","46.4","8.4","1.8","10.2","3.442","36.3"
"제주특별자치도","Male","2020","16.6","32.2","48.8","41.8","8","1.4","9.4","3.546","42.6"
"제주특별자치도","Male","2021","14.3","24.1","38.4","42.4","14.4","4.8","19.2","3.287","41"
"제주특별자치도","Male","2022","15.2","32.8","48","41.5","8.6","1.9","10.5","3.508","41.8"
"제주특별자치도","Male","2023","14","31.7","45.7","40.4","10.2","3.7","13.9","3.421","45.4"
"제주특별자치도","Male","2024","12.8","29.6","42.4","47.2","8.1","2.3","10.4","3.425","55.3"
"제주특별자치도","Female","2020","14","32.9","46.9","41.3","9.6","2.2","11.8","3.469","17.2"
"제주특별자치도","Female","2021","13.1","25.5","38.6","41","17.1","3.3","20.4","3.28","11.1"
"제주특별자치도","Female","2022","13.8","34.5","48.3","39.8","10.1","1.7","11.8","3.483","10.1"
"제주특별자치도","Female","2023","12.3","31.5","43.8","45.4","7.9","2.9","10.8","3.424","15.5"
"제주특별자치도","Female","2024","12.7","31.6","44.3","45.7","8.7","1.4","10.1","3.458","17.3"
